venue_name,venue_type,category,city,state,pincode,website_url,owner_name,owner_email,owner_phone,cuisine,address,country,latitude,longitude,google_maps_url,price_range
Mess - 2,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462066,,,,,multicuisine,"Amul Shop, Bhopal Bypass Rd, Bhaunri, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462066, India",India,23.2913227,77.2708838,"https://www.google.com/maps?q=23.2913227,77.2708838",Budget
Akash garden,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,multicuisine,"Akash garden, CTD road, Bairagarh, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.2677321,77.3215,"https://www.google.com/maps?q=23.2677321,77.3215",Budget
Canteen,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,multicuisine,"Canteen, CTD road, Bairagarh, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.2679784,77.3165677,"https://www.google.com/maps?q=23.2679784,77.3165677",Budget
Adarsh Bhojnalaya,Restaurant,Restaurant,Jabalpur,Madhya Pradesh,482002,,,,,multicuisine,"Arihant Enterprises, 107, MR-4 ROAD, Vijay Nagar, Jabalpur, Adhartal Tahsil, Jabalpur, Madhya Pradesh, 482002, India",India,23.1923019,79.9150914,"https://www.google.com/maps?q=23.1923019,79.9150914",Budget
JAM,Restaurant,Restaurant,Pigdamber,Madhya Pradesh,453556,,,,,multicuisine,"KK Traders, iim road, Pigdambar, Pigdamber, Rau Tahsil, Indore, Madhya Pradesh, 453556, India",India,22.6249731,75.7922539,"https://www.google.com/maps?q=22.6249731,75.7922539",Budget
hul adda,Restaurant,Restaurant,Pigdamber,Madhya Pradesh,453556,,,,,multicuisine,"hul adda, iim road, Pigdambar, Pigdamber, Rau Tahsil, Indore, Madhya Pradesh, 453556, India",India,22.6249247,75.7924529,"https://www.google.com/maps?q=22.6249247,75.7924529",Budget
Shri Shankar Hotel Evam Nashta Ghar,Restaurant,Hotel Restaurant,Bhopal,Madhya Pradesh,462044,,,,,multicuisine,"Shri Shankar Hotel Evam Nashta Ghar, MD3124, Neelbad, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462044, India",India,23.2013766,77.3565905,"https://www.google.com/maps?q=23.2013766,77.3565905",Budget
Canteen,Restaurant,Restaurant,Sanwer Tahsil,Madhya Pradesh,453771,,,,,multicuisine,"Okpl, MD4505, Manglya, Sanwer Tahsil, Indore, Madhya Pradesh, 453771, India",India,22.8216651,75.9435182,"https://www.google.com/maps?q=22.8216651,75.9435182",Budget
Blueberry Restaurant,Restaurant,Restaurant,Gwalior,Madhya Pradesh,474005,,,,,indian,"Blueberry Restaurant, VIP Road, Gwalior, Madhya Pradesh, 474005, India",India,26.2324693,78.2171007,"https://www.google.com/maps?q=26.2324693,78.2171007",Budget
Veg Bites Cafe & Restaurant,Restaurant,Cafe,Indore,Madhya Pradesh,452001,,,,,indian,"Veg Bites Cafe & Restaurant, Narendra Tiwari Marg, Usha Nagar, Vaishali Nagar, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.6957343,75.8349682,"https://www.google.com/maps?q=22.6957343,75.8349682",Budget
Nature's Kitchen Pluck & Dine,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,multicuisine,"M.P pollution control board indore, 13 Old, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7624825,75.8847893,"https://www.google.com/maps?q=22.7624825,75.8847893",Budget
Apna Sweets,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,multicuisine,"McDonald's, Scheme 54, Service Road, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7495427,75.8956996,"https://www.google.com/maps?q=22.7495427,75.8956996",Budget
jay ambe sweets,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,khichdi_saboodana,"jay ambe sweets, 13 Old, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7569481,75.8859791,"https://www.google.com/maps?q=22.7569481,75.8859791",Budget
DZire paying guest and mess,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,multicuisine,"DZire paying guest and mess, 13 Old, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7570232,75.8857215,"https://www.google.com/maps?q=22.7570232,75.8857215",Budget
Indigo,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,multicuisine,"Indigo, Ring Road, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7533416,75.903384,"https://www.google.com/maps?q=22.7533416,75.903384",Budget
Filfora,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,multicuisine,"Filfora, Main road, Idgah hills, Ibrahimpura, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.2639205,77.3802723,"https://www.google.com/maps?q=23.2639205,77.3802723",Budget
PUROHIT,Restaurant,Restaurant,Harda,Madhya Pradesh,461331,,,,,multicuisine,"PUROHIT, NATIONAL HIGHWAY 47, Harda Khurd, Harda, Harda Tahsil, Harda, Madhya Pradesh, 461331, India",India,22.3568125,77.0834762,"https://www.google.com/maps?q=22.3568125,77.0834762",Budget
Madari The Restaurant,Restaurant,Restaurant,Shahdol,Madhya Pradesh,484001,,,,+91 94258 70009;+91 70009 84430,indian,"Madari The Restaurant, Ahiridadra, NH43, Bhimadongri, Shahdol, Pali Tahsil, Umaria, Madhya Pradesh, 484001, India",India,23.3375744,81.2446316,"https://www.google.com/maps?q=23.3375744,81.2446316",Budget
Chhatrapal Pehalwan Dhaba,Restaurant,Dhaba,Semri Harchand,Madhya Pradesh,461668,,,,,regional;indian,"Chhatrapal Pehalwan Dhaba, SH67, Babai, Semri Harchand, Babai Tahsil, Narmadapuram, Madhya Pradesh, 461668, India",India,22.6990968,77.9794426,"https://www.google.com/maps?q=22.6990968,77.9794426",Budget
hot chillli,Restaurant,Restaurant,Jabalpur,Madhya Pradesh,482004,,,,,multicuisine,"hot chillli, Jabalpur Flyover, Jabalpur, Adhartal Tahsil, Jabalpur, Madhya Pradesh, 482004, India",India,23.1860005,79.9297917,"https://www.google.com/maps?q=23.1860005,79.9297917",Budget
Suraj dhaba,Restaurant,Dhaba,Shahdol,Madhya Pradesh,484116,,,,,north_indian,"Suraj dhaba, Amlai Burhar Road, Amlai, Budar Tahsil, Shahdol, Anuppur Tehsil, Anuppur, Madhya Pradesh, 484116, India",India,23.1957375,81.5760493,"https://www.google.com/maps?q=23.1957375,81.5760493",Budget
Tj dhaba,Restaurant,Dhaba,Shahdol,Madhya Pradesh,484116,,,,,north_indian,"Tj dhaba, Amlai Burhar Road, Amlai, Budar Tahsil, Shahdol, Anuppur Tehsil, Anuppur, Madhya Pradesh, 484116, India",India,23.1950557,81.5767204,"https://www.google.com/maps?q=23.1950557,81.5767204",Budget
Yadav dhaba,Restaurant,Dhaba,Shahdol,Madhya Pradesh,484116,,,,,north_indian,"Yadav dhaba, Amlai Burhar Road, Amlai, Budar Tahsil, Shahdol, Anuppur Tehsil, Anuppur, Madhya Pradesh, 484116, India",India,23.1951202,81.5766951,"https://www.google.com/maps?q=23.1951202,81.5766951",Budget
Shrivastav bhojnalay,Restaurant,Restaurant,Shahdol,Madhya Pradesh,484117,,,,,multicuisine,"Shrivastav bhojnalay, NH43, Amlai, Budar Tahsil, Shahdol, Anuppur Tehsil, Anuppur, Madhya Pradesh, 484117, India",India,23.2081523,81.5715498,"https://www.google.com/maps?q=23.2081523,81.5715498",Budget
Shere punjab,Restaurant,Restaurant,Shahdol,Madhya Pradesh,484117,,,,,multicuisine,"Shere punjab, NH43, Amlai, Budar Tahsil, Shahdol, Anuppur Tehsil, Anuppur, Madhya Pradesh, 484117, India",India,23.2079024,81.5714361,"https://www.google.com/maps?q=23.2079024,81.5714361",Budget
Shere non veg restaurant,Restaurant,Restaurant,Shahdol,Madhya Pradesh,484117,,,,,indian,"Shere non veg restaurant, NH43, Amlai, Budar Tahsil, Shahdol, Anuppur Tehsil, Anuppur, Madhya Pradesh, 484117, India",India,23.2078999,81.5711904,"https://www.google.com/maps?q=23.2078999,81.5711904",Budget
Mess - 1,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462066,,,,,multicuisine,"Indian Institute of Science Education and Research, Bhopal, Bhopal Bypass Rd, Bhaunri, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462066, India",India,23.2899946,77.2721613,"https://www.google.com/maps?q=23.2899946,77.2721613",Budget
Mess - 3,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,multicuisine,"Mess - 3, Institutional Campus Road, Barkhera Bandar, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.2925352,77.2706018,"https://www.google.com/maps?q=23.2925352,77.2706018",Budget
Mess - 4,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462066,,,,,multicuisine,"Indian Institute of Science Education and Research, Bhopal, Bhopal Bypass Rd, Bhaunri, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462066, India",India,23.2933012,77.2718372,"https://www.google.com/maps?q=23.2933012,77.2718372",Budget
Mess - 5,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462066,,,,,multicuisine,"Indian Institute of Science Education and Research, Bhopal, Bhopal Bypass Rd, Bhaunri, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462066, India",India,23.2930321,77.2704516,"https://www.google.com/maps?q=23.2930321,77.2704516",Budget
Grand Palace,Restaurant,Restaurant,Sagar,Madhya Pradesh,470001,,,,,multicuisine,"Grand Palace, NH146, Garholi, Sagar, Sagar Nagar Tahsil, Sagar, Madhya Pradesh, 470001, India",India,23.8356649,78.7165807,"https://www.google.com/maps?q=23.8356649,78.7165807",Budget
Mess - 6,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,multicuisine,"Mess - 6, IISER Bhopal internal Road, Barkhera Bandar, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.2939129,77.2709181,"https://www.google.com/maps?q=23.2939129,77.2709181",Budget
Matargasti,Restaurant,Restaurant,Indore,Madhya Pradesh,452014,,,,084549 22434,multicuisine,"Matargasti, 156,Vishnupuri colony, Old A. B. Road, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452014, India",India,22.6909854,75.8630839,"https://www.google.com/maps?q=22.6909854,75.8630839",Budget
"Vairagi Chef ""Cakes and Street Food""",Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,burger;pizza;cake;sandwich;dessert,"Vairagi Chef ""Cakes and Street Food"", Shop number G-4,29,Shivom Apartment,Vishnupuri main,Vishnupuri Colony, Old A. B. Road, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.6898215,75.863472,"https://www.google.com/maps?q=22.6898215,75.863472",Budget
Royal Bakery Stores,Restaurant,Restaurant,Indore,Madhya Pradesh,452014,,,,,cake;dessert;donut;pizza,"Royal Bakery Stores, Vishnupuri Colony, Old A. B. Road, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452014, India",India,22.6900604,75.8637631,"https://www.google.com/maps?q=22.6900604,75.8637631",Budget
Hotel The ACE,Restaurant,Hotel Restaurant,Bijanwada,Madhya Pradesh,461775,https://hoteltheace.co.in/,,,+917566010740,regional;indian,"Hotel The ACE, Pachmarhi Road, Pipariya, Bijanwada, Pipariya Tahsil, Narmadapuram, Madhya Pradesh, 461775, India",India,22.7265772,78.3548666,"https://www.google.com/maps?q=22.7265772,78.3548666",Budget
Mehek Dhaba,Restaurant,Dhaba,Semri Harchand,Madhya Pradesh,461668,,,,,regional;indian,"Mehek Dhaba, SH67, Babai, Semri Harchand, Babai Tahsil, Narmadapuram, Madhya Pradesh, 461668, India",India,22.6995733,77.9866666,"https://www.google.com/maps?q=22.6995733,77.9866666",Budget
Indian Coffee House & Restaurant,Restaurant,Cafe,Pachmarhi,Madhya Pradesh,461881,,,,+918871596850,regional;indian;coffee_shop,"Indian Coffee House & Restaurant, Mahadev Road, Pachmarhi, Pipariya Tahsil, Narmadapuram, Madhya Pradesh, 461881, India",India,22.4580153,78.429344,"https://www.google.com/maps?q=22.4580153,78.429344",Budget
Pandit Ji Refreshments,Restaurant,Restaurant,Pachmarhi,Madhya Pradesh,461881,,,,,regional;indian,"Pandit Ji Refreshments, Mahadev Road, Pachmarhi, Pipariya Tahsil, Narmadapuram, Madhya Pradesh, 461881, India",India,22.4598654,78.4267826,"https://www.google.com/maps?q=22.4598654,78.4267826",Budget
Karnawat hotel,Restaurant,Hotel Restaurant,Indore,Madhya Pradesh,452001,,,,,multicuisine,"Karnawat hotel, 13 Old, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7571946,75.8849532,"https://www.google.com/maps?q=22.7571946,75.8849532",Budget
Mukesh Sweets,Restaurant,Restaurant,Dewas,Madhya Pradesh,455001,,,,,samosa;poha;tea,"Mukesh Sweets, Devas - Ujjain Highway, Dewas, Dewas Nagar Tahsil, Dewas, Madhya Pradesh, 455001, India",India,22.9664971,76.0502329,"https://www.google.com/maps?q=22.9664971,76.0502329",Budget
Gopal JI,Restaurant,Restaurant,Jabalpur,Madhya Pradesh,482007,,,,,multicuisine,"Gopal JI, Delite Talkies Road, Sadar, Jabalpur, Ranjhi Tahsil, Jabalpur, Madhya Pradesh, 482007, India",India,23.1633165,79.9545847,"https://www.google.com/maps?q=23.1633165,79.9545847",Budget
rk restuarant,Restaurant,Restaurant,Udaipura,Madhya Pradesh,464770,,,,,indian,"rk restarurant, NH45, Udaipura, Udaipura Tahsil, Raisen, Madhya Pradesh, 464770, India",India,23.0720647,78.5131213,"https://www.google.com/maps?q=23.0720647,78.5131213",Budget
Jain Mithai Bhandar(JMB),Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,thai,"Jain Mithai Bhandar(JMB), Anand Bazar Road, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.727255,75.8945618,"https://www.google.com/maps?q=22.727255,75.8945618",Mid-Range
Apna Sweets,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,multicuisine,"Apna Sweets, Greater Kailash Road, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7257518,75.8920658,"https://www.google.com/maps?q=22.7257518,75.8920658",Budget
Alfanzo,Restaurant,Restaurant,Gwalior,Madhya Pradesh,474001,,,,,indian,"Alfanzo, Madhav Rao Scindia Marg, Gwalior, Madhya Pradesh, 474001, India",India,26.2090183,78.1877501,"https://www.google.com/maps?q=26.2090183,78.1877501",Budget
Mandu Retreat Restaurant,Restaurant,Restaurant,Nalchha,Madhya Pradesh,454010,,,,,indian,"Mandu Retreat Restaurant, Indore-Mandu Road, Mandu, Nalchha, Pithampur Tahsil, Dhar, Madhya Pradesh, 454010, India",India,22.355671,75.3965578,"https://www.google.com/maps?q=22.355671,75.3965578",Budget
Sharan Restauran,Restaurant,Restaurant,Betul,Madhya Pradesh,460001,www.hotelabhashree.com,,,+91 7141 234338,regional,"Sharan Restauran, MD3504, Betul, Betul Tahsil, Betul, Madhya Pradesh, 460001, India",India,21.9022284,77.907556,"https://www.google.com/maps?q=21.9022284,77.907556",Budget
Manohar Dairy & Restaurant,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,regional,"Manohar Dairy & Restaurant, Chetak Flyover, Zone-I, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.234239,77.4339722,"https://www.google.com/maps?q=23.234239,77.4339722",Budget
Shree Krishna Chaat,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,regional,"Shree Krishna Chaat, 9, MD3108, Peer Gate Area, Ibrahimpura, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.2574182,77.4112473,"https://www.google.com/maps?q=23.2574182,77.4112473",Budget
Mediterraneo Restaurant,Restaurant,Restaurant,Khajuraho,Madhya Pradesh,471606,,,,,indian,"Mediterraneo Restaurant, SH5, Khajuraho, Rajnagar Tahsil, Chhatarpur, Madhya Pradesh, 471606, India",India,24.8512312,79.9257724,"https://www.google.com/maps?q=24.8512312,79.9257724",Budget
Bhojanalay and Tiffin Centre,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,multicuisine,"Bhojanalay and Tiffin Centre, Ring Road, Piplya Kumar, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7554685,75.9049511,"https://www.google.com/maps?q=22.7554685,75.9049511",Budget
MY Kitchen Restaurant,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,indian,"MY Kitchen Restaurant, Ring Road, Piplya Kumar, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7562278,75.9051644,"https://www.google.com/maps?q=22.7562278,75.9051644",Budget
hazi samosa center,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,"creamrole_biscuit,chai","hazi samosa center, MTH Compound Road, Martand Chowk, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7190137,75.8593867,"https://www.google.com/maps?q=22.7190137,75.8593867",Budget
Mr. Singh's Restaurant,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,indian,"Mr. Singh's Restaurant, Street Road Conncetivity, raddison, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7536052,75.9013727,"https://www.google.com/maps?q=22.7536052,75.9013727",Budget
Nafees,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,multicuisine,"Nafees, Greater Kailash Road, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7257453,75.8883492,"https://www.google.com/maps?q=22.7257453,75.8883492",Budget
Indian Coffee House,Restaurant,Cafe,Jabalpur,Madhya Pradesh,482001,,,,,south_indian;coffee,"Indian Coffee House, Dr Barat Road, Sadar, Jabalpur, GorakhpurTahsil, Jabalpur, Madhya Pradesh, 482001, India",India,23.1540567,79.9489513,"https://www.google.com/maps?q=23.1540567,79.9489513",Budget
Saifee Restaurant,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,regional,"Saifee Restaurant, Jawahar Marg, Champabagh, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7160939,75.8641447,"https://www.google.com/maps?q=22.7160939,75.8641447",Budget
Saifee Hotel,Restaurant,Hotel Restaurant,Indore,Madhya Pradesh,452001,,,,,regional,"Saifee Hotel, Jawahar Marg, Champabagh, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7163833,75.8640405,"https://www.google.com/maps?q=22.7163833,75.8640405",Budget
MANIT Canteen,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,multicuisine,"MANIT Canteen, MD3118, Harshwardhan Nagar, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.2153081,77.4062995,"https://www.google.com/maps?q=23.2153081,77.4062995",Budget
Bapu Ki Kutia,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462003,https://bapukikutia.in/,,,+91- 98260-23724,multicuisine,"Bapu Ki Kutia, MD3110, New Market, Ibrahimpura, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462003, India",India,23.2387189,77.4024992,"https://www.google.com/maps?q=23.2387189,77.4024992",Budget
Agrasen,Restaurant,Restaurant,Khajuraho,Madhya Pradesh,471505,,,,,multicuisine,"Agrasen, SH5, Khajuraho, Rajnagar Tahsil, Chhatarpur, Madhya Pradesh, 471505, India",India,24.8511199,79.9259427,"https://www.google.com/maps?q=24.8511199,79.9259427",Budget
Ganesh,Restaurant,Restaurant,Khajuraho,Madhya Pradesh,471505,,,,,multicuisine,"Ganesh, SH5, Khajuraho, Rajnagar Tahsil, Chhatarpur, Madhya Pradesh, 471505, India",India,24.8501658,79.9233157,"https://www.google.com/maps?q=24.8501658,79.9233157",Budget
Milan Restaurant,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,indian,"Milan Restaurant, GG Flyover, Maharana Pratap Nagar, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.2325897,77.4332685,"https://www.google.com/maps?q=23.2325897,77.4332685",Budget
Treat Family Restaurant,Restaurant,Restaurant,Gwalior,Madhya Pradesh,474012,,,,7879015449,indian,"Treat Family Restaurant, Bahodapur Road, Gwalior, Gird Tahsil, Gwalior, Madhya Pradesh, 474012, India",India,26.220707,78.1604163,"https://www.google.com/maps?q=26.220707,78.1604163",Budget
Bhola Restaurant,Restaurant,Restaurant,Orchha,Madhya Pradesh,472246,,,,,indian;breakfast;arab;burger;coffee_shop;curry;italian;local;pancake;savory_pancakes,"Bhola Restaurant, NH539, Orchha, Orchha Tahsil, Niwari, Madhya Pradesh, 472246, India",India,25.3507783,78.6410287,"https://www.google.com/maps?q=25.3507783,78.6410287",Budget
Chote Nawab,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,multicuisine,"Chote Nawab, MD3119, Habibganj, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.2228062,77.4451417,"https://www.google.com/maps?q=23.2228062,77.4451417",Budget
Mama Sweets,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,multicuisine,"Mama Sweets, MD3119, Habibganj, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.2224525,77.4452758,"https://www.google.com/maps?q=23.2224525,77.4452758",Budget
Sunshine Tea Stall,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,multicuisine,"Sunshine Tea Stall, MD3119, Habibganj, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.222466,77.4449821,"https://www.google.com/maps?q=23.222466,77.4449821",Budget
Nashta Ghar,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,multicuisine,"Nashta Ghar, MD3119, Habibganj, BHEL Township, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.2228148,77.445304,"https://www.google.com/maps?q=23.2228148,77.445304",Budget
Raja's Cafe,Restaurant,Cafe,Khajuraho,Madhya Pradesh,471505,,,,,cafe,"Raja's Cafe, SH5, Khajuraho, Rajnagar Tahsil, Chhatarpur, Madhya Pradesh, 471505, India",India,24.8528511,79.922988,"https://www.google.com/maps?q=24.8528511,79.922988",Budget
Lassi Corner,Restaurant,Restaurant,Khajuraho,Madhya Pradesh,471505,,,,,indian;pancake,"Lassi Corner, SH5, Khajuraho, Rajnagar Tahsil, Chhatarpur, Madhya Pradesh, 471505, India",India,24.8517419,79.9239995,"https://www.google.com/maps?q=24.8517419,79.9239995",Budget
Bella Italia,Restaurant,Restaurant,Khajuraho,Madhya Pradesh,471505,,,,,indian;italian,"Bella Italia, SH5, Khajuraho, Rajnagar Tahsil, Chhatarpur, Madhya Pradesh, 471505, India",India,24.8515249,79.9240155,"https://www.google.com/maps?q=24.8515249,79.9240155",Budget
Balaji Family Restaurant and Dhaba,Restaurant,Dhaba,Mordongari,Madhya Pradesh,480337,,,,,indian,"Balaji Family Restaurant and Dhaba, NH47, Mordongari, Mordongri, Seoni, Pandhurna Tahsil, Pandhurna, Madhya Pradesh, 480337, India",India,21.5795659,78.5654479,"https://www.google.com/maps?q=21.5795659,78.5654479",Budget
Mr. Beans,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,https://www.mrbeans.in/,,,+91 731 428 5050,international,"Mr. Beans, Kanadia Road, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7232375,75.896927,"https://www.google.com/maps?q=22.7232375,75.896927",Budget
Kebabsville,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,grill,"Kebabsville, MR10, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7508667,75.8893939,"https://www.google.com/maps?q=22.7508667,75.8893939",Budget
